sample	morpho_id	mitoch_seq	mitoch_id	radseq_seq	radseq_id	status	host	site	dep.	long	lat	alt	dd	mm	yyyy	origine
19.0126a	M. myrmecophilus	FALSE_W	NA	TRUE	myrmecophilus	femelle	Messor structor	Tarascon	Bouches-du-Rhones	43.766132	4.696832	45	28	4	2016	collection
19.0127a	M. myrmecophilus	FALSE_W	NA	TRUE	myrmecophilus	femelle	indet.	Mornas	Vaucluse	44.2	4.733333	150	30	12	2006	collection
19.0128a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Messor structor	Aureille	Bouches-du-Rhones	43.727778	4.955278	220	8	4	2009	collection
19.0129a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Messor structor	Mornas	Vaucluse	44.205833	4.733889	150	7	4	2009	collection
19.0130a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	indet.	Mornas	Vaucluse	44.205833	4.733611	150	6	4	2009	collection
19.0131a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Messor structor	Mornas	Vaucluse	44.2	4.733333	170	19	2	2013	collection
19.0132a	M. myrmecophilus	FILTERED_OUT	NA	TRUE	myrmecophilus	femelle	Messor structor	Mornas	Vaucluse	44.2	4.733333	170	19	2	2013	collection
19.0133a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Messor structor	Mornas	Vaucluse	44.2	4.733333	170	19	2	2013	collection
19.0134a	M. myrmecophilus	FALSE_W	NA	TRUE	myrmecophilus	femelle	indet.	Eyguières	Bouches-du-Rhones	43.698611	4.995833	140	16	3	2014	collection
19.0135a	M. myrmecophilus	FILTERED_OUT	NA	TRUE	myrmecophilus	femelle	indet.	Eyguières	Bouches-du-Rhones	43.698611	4.995833	140	16	3	2014	collection
19.0136a	M. myrmecophilus	FALSE	NA	FILTERED_OUT	NA	femelle	indet.	Lambesc	Bouches-du-Rhones	43.65	5.266667	240	1	8	2011	collection
19.0137a	M. myrmecophilus	TRUE	unknown	TRUE	unknown	femelle	indet.	Lavalette	Haute-Garonne	43.18	2.26	200	23	4	2012	collection
19.0138a	M. myrmecophilus	FALSE	NA	TRUE	myrmecophilus	male	indet.	Saint-Martin-de-Crau	Bouches-du-Rhones	43.705121	4.97148	175	18	12	2016	collection
19.0139a	M. myrmecophilus	FALSE	NA	TRUE	myrmecophilus	male	indet.	Aureille	Bouches-du-Rhones	43.72198	4.95509	280	4	6	2016	collection
19.0140a	M. myrmecophilus	FALSE	NA	TRUE	myrmecophilus	male	Messor structor	Sénas	Bouches-du-Rhones	43.724451	5.109282	115	7	5	2018	collection
19.0141a	M. myrmecophilus	FALSE_W	NA	FILTERED_OUT	NA	larve femelle	indet.	Lambesc	Bouches-du-Rhones	43.65	5.266667	240	1	8	2011	collection
19.0142a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	male	Messor structor	Vienne	Isere	45.530296	4.876048	205	27	5	2016	collection
19.0143a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Vienne	Isere	45.530279	4.875867	205	27	5	2016	collection
19.0144a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Vienne	Isere	45.530279	4.875867	205	27	5	2016	collection
19.0145a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Vienne	Isere	45.530394	4.876272	205	27	5	2016	collection
19.0146a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Vienne	Isere	45.530356	4.876152	205	27	5	2016	collection
19.0147a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Vienne	Isere	45.530269	4.876043	205	27	5	2016	collection
19.0148a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Vienne	Isere	45.530263	4.875998	205	27	5	2016	collection
19.0149a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Vienne	Isere	45.530263	4.875998	205	27	5	2016	collection
19.0150a	M. aequispina	FALSE	NA	TRUE	myrmecophilus	larve femelle	indet.	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0151a	NA	FALSE	NA	TRUE	myrmecophilus	larve femelle	indet.	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0152a	NA	FALSE_W	NA	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Mornas	Vaucluse	44.205278	4.733611	139	6	4	2009	collection
19.0153a	M. aequispina	FILTERED_OUT	NA	TRUE	myrmecophilus	larve femelle	Camponotus cruentatus	Cassis	Bouches-du-Rhones	43.225833	5.538056	80	17	7	2009	collection
19.0154a	M. aequispina	FALSE	NA	TRUE	myrmecophilus	larve femelle	indet.	Mornas	Vaucluse	44.208333	4.732222	170	27	11	2008	collection
19.0155a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Mornas	Vaucluse	44.208333	4.732222	170	26	11	2008	collection
19.0156a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
