sample	morpho_id	mitoch_seq	mitoch_id	radseq_seq	radseq_id	status	host	site	dep.	long	lat	alt	dd	mm	yyyy	origine
19.0256a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve male	Crematogaster auberti	Montpellier	Herault	43.636667	3.861389	-	18	10	2011	collection
19.0257a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Montpellier	Herault	43.636667	3.861389	-	18	10	2011	collection
19.0258a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Montpellier	Herault	43.636944	3.863333	-	18	10	2011	collection
19.0259a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Crematogaster auberti	Montpellier	Herault	43.63197	3.87436	-	20	6	2011	collection
19.0260a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Saint-Mathieu-de-Tréviers 	Herault	43.766667	3.866667	-	16	2	2010	collection
19.0261a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Saint-Mathieu-de-Tréviers 	Herault	43.766667	3.866667	-	16	2	2010	collection
19.0262a	NA	TRUE	fuscus	TRUE	fuscus	larve femelle	Pheidole pallidula	Lioux	Vaucluse	43.954444	5.301111	390	20	5	2013	collection
19.0263a	NA	TRUE	fuscus	TRUE	fuscus	larve male	Pheidole pallidula	Roquebrune-sur-Argens	Var	43.435	6.624167	245	19	5	2013	collection
19.0264a	NA	TRUE	fuscus	TRUE	fuscus	larve male	Pheidole pallidula	Roquebrune-sur-Argens	Var	43.435	6.624167	245	19	5	2013	collection
19.0265a	NA	TRUE	fuscus	TRUE	fuscus	larve femelle	Pheidole pallidula	Roquebrune-sur-Argens	Var	43.435	6.624167	245	19	5	2013	collection
19.0266a	NA	TRUE	fuscus	TRUE	fuscus	larve male	Pheidole pallidula	Lioux	Vaucluse	43.954757	5.301164	390	11	5	2016	collection
19.0267a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Aureille	Bouches-du-Rhones	43.727221	4.949351	215	31	5	2016	collection
19.0268a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	indet.	Saint-Étienne-du-Grès	Bouches-du-Rhones	43.772229	4.715048	50	3	6	2016	collection
19.0269a	NA	FALSE	NA	TRUE	fuscus	larve femelle	indet.	Eygalières	Bouches-du-Rhones	43.757805	4.987533	145	25	5	2016	collection
19.0270a	M. fuscus	TRUE	fuscus	TRUE	fuscus	male	Lasius niger	Sigean	Aude	43.01749	2.955107	20	4	5	2016	collection
19.0271a	M. fuscus	TRUE	fuscus	TRUE	fuscus	larve femelle	Lasius niger	Sigean	Aude	43.01413	2.956207	30	5	5	2016	collection
19.0272a	M. fuscus	TRUE	fuscus	TRUE	fuscus	femelle	indet.	Aureille	Bouches-du-Rhones	43.719435	4.953628	183	11	5	2018	collection
19.0273a	M. gallicus	TRUE	fuscus	TRUE	fuscus	femelle	Formica fusca	Le Pègue	Drome	44.424635	5.034397	405	23	9	2017	collection
19.0274a	M. gallicus	FALSE	NA	TRUE	acervorum	femelle	Formica fusca	Prades-Le-Lez	Herault	43.69	3.86	-	23	5	2012	collection
19.0275a	M. acervorum	TRUE	acervorum	TRUE	acervorum	femelle	Lasius alienus	Montpellier	Herault	43.64	3.869722	70	12	4	2013	collection
19.0279a	M. myrmecophilus	FILTERED_OUT	NA	TRUE	myrmecophilus	larve male	indet.	Kandanos	Grece	35.301944	23.750278	860	30	12	2013	collection
19.0280a	M. myrmecophilus	FILTERED_OUT	NA	TRUE	myrmecophilus	larve male	indet.	Kandanos	Grece	35.301944	23.750278	860	30	12	2013	collection
M21-04 (HiFi)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
22.0016 (HiFi)	M. myrmecophilus	FALSE	NA	NA	NA	male	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	7	10	2022	sampling
M21-05 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-06 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-07 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-08 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-10 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-11 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-12 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-13 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-14 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-15 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
M21-16 (HiC)	M. myrmecophilus	FALSE	NA	NA	NA	female	Camponotus cruentatus	Mornas	Vaucluse	44.21	4.7	NA	NA	10	2021	sampling
